OBJECTID,Inventory__,y,y_1,x,x_1,x_2,F__of_Culverts,Bankfull,Blownout_DS_,County,Culvert_Height,Culvert_Length,Culvert_Material,Culvert_Roadway_Name,Headloss,Headwater_elevation,Invert_DS__RL_,Invert_DS__RR_,Invert_US__RL_,Invert_US__RR_,Lateral_Scour_DS,Constriction_Ratio,RL_Culvert_Slope,RR_Culvert_Slope,Scour_Pool_DS_,Tailwater_elevation,Culvert_Width,Total_Culvert_width,Vertical_Scour__M1_,Vertical_Scour__M2_,Vertical_Scour__RL_,Vertical_Scour__RR_
43,23-0213, N 43° 48.330,43.8055,W 092° 24.717,92.41183333,-92.41183333,2,6.233333333,YES,Fillmore,8.5,98.5,CONCRETE,CR 2,1.01,14.26,15.47,15.59,15.08,15.02,35,4.49197861,0.395939086,0.578680203,Yes,15.27,14,28,X,X,2.6,0.65
64,23-0158,N 43°37.873',43.63121667,W 092°11.179',92.18631667,-92.18631667,1,,YES,Fillmore,7.1,28.4,CONCRETE,Lonesome Rd,2.59,12.22,X,12.8,X,12.97,35.29,NA,X,-0.598591549,Yes,14.81,18.3,18.3,NA,NA,NA,NA
130,28-0197,N 43°31.911',43.53185,W 091°25.493',91.42488333,-91.42488333,2,,YES,Houston,60,NA,CONCRETE,NA,0.71,18.24,NA,,NA,,36.06,NA,NA,NA,Yes,18.95,NA,NA,NA,NA,NA,NA
164,50-0103,N 43°49.165',43.81941667,W 091°31.384',91.52306667,-91.52306667,2,5.6,YES,Mo-er,7.8,80.8,CONCRETE,320th ST,0.43,11.74,14.33,14.41,14.39,14.37,37.37,4.285714286,-0.0743,0.04950495,Yes,12.17,12,24,NA,NA,NA,NA
133,28-0012,N 43°38.001',43.63335,W 091°26.031',91.43385,-91.43385,2,,YES,Houston,,100,CONCRETE,CR32,-0.58,15.49,16,15.21,17.69,17.16,37.7,NA,-1.69,-1.95,Yes,14.91,NA,NA,NA,NA,NA,NA
101,28-0081, N 43° 44.354,43.73916667,W 091° 29.503,91.49166667,-91.49166667,1,7.733333333,YES,Houston,2,20,METAL,Burfield Rd.,1.39,5.07,X,6.92,X,6.64,40,0.25862069,X,1.4,Yes,6.46,2,2,X,X,X,2.3
29,23-0228, N 43° 42.442,43.70733333,W 092° 20.960,92.34933333,-92.34933333,3,15.86666667,YES,Fillmore,9,68,CONCRETE,151 Ave,-0.02,15.43,17.8,18.93,17.53,18.85,40,0.598739496,0.397058824,0.117647059,Yes,15.41,3.166666667,9.5,0,X,0,0
47,23-0190, N 43° 49.270,43.82116667,W 092° 16.665,92.27766667,-92.27766667,2,14.6,YES,Fillmore,8.5,107,CONCRETE,CR 101,0.15,15.6,16.74,,16.36,16.92,41,1.849315068,0.355140187,NA,Yes,15.75,13.5,27,X,X,1.8,0
206,85-0112,N 43°56.550',43.9425,W 091°52.367',91.87278333,-91.87278333,3,2.633333333,N/A,Winona,8,80,CONCRETE,CR29,,13.84,NA,,16.35,16.46,47.57,10.25316456,NA,NA,Yes,,9,27,NA,NA,NA,NA
96,28-0064, N 43° 44.001,43.73333333,W 091° 21.168,91.35266667,-91.35266667,1,1.5,YES,Houston,10,63,CONCRETE,Butterfield Valley Rd,-0.03,15.67,X,16.67,X,16.35,50,7.666666667,X,0.507936508,Yes,15.64,11.5,11.5,X,X,X,3
184,55-0029, N 43° 56.067,43.93433333,W 092° 19.655,92.3275,-92.3275,1,3.4,YES,Olmstead,8,88,CONCRETE,US 52,0.11,19.9,X,22.49,X,21.21,50,2.941176471,X,1.454545455,Yes,20.01,10,10,X,X,X,0.2
93,28-0073, N 43° 42.843,43.714,W 091° 25.673,91.42783333,-91.42783333,2,5.633333333,YES,Houston,,NA,CONCRETE,Private Drive,1.26,5.96,6.7,6.7,6.53,6.85,50,0.532544379,1.096774194,-1.153846154,Yes,7.22,1.5,3,X,X,2.7,2.7
18,23-0179, N 43° 36.997,43.6165,W 092°22.892,92.3815,-92.3815,3,15.63333333,YES,Fillmore,8,73,CONCRETE,180ST,0,15.3,7.46,10.21,6.7,10.43,60,2.302771855,1.04109589,-0.301369863,Yes,15.3,12,36,1,X,0.5,1.3
27,23-0227, N 43° 42.227,43.70366667,W 092° 20.063,92.33433333,-92.33433333,1,16.93333333,YES,Fillmore,6.5,26.5,METAL,157 ST,2.01,10.24,X,12.17,X,12.73,65,0.649606299,X,-2.113207547,Yes,12.25,11,11,X,X,X,3
208,85-0115,N 43°57.738',43.9623,W 091°53.106',91.8851,-91.8851,1,1.35,YES,Winona,12,154,CONCRETE,NA,,24.97,X,,X,25.59,82.3,10.37037037,X,NA,Yes,,14,14,NA,NA,NA,NA
48,23-0191, N 43° 49.517,43.82516667,W 092° 18.528,92.30866667,-92.30866667,1,2.266666667,NO,Fillmore,10,40,METAL,171 Ave,0.04,16.31,X,18.75,X,18.1,NA,7.279411765,X,1.625,No,16.35,16.5,16.5,X,X,X,NA
57,23-0146,N 43°35.359',43.58931667,W 092°06.752',92.11253333,-92.11253333,1,3.8,NO,Fillmore,5,79.9,CONCRETE,Jumper Rd,0.11,10.02,X,11.7,X,10.77,NA,2.578947368,X,1.163954944,No,10.13,9.8,9.8,NA,NA,NA,NA
78,23-0010,N 43°45.721',43.76201667,W 091°53.592',91.8932,-91.8932,1,4.9,N/A,Fillmore,12,92,CONCRETE,Dap River Road,0.16,18.45,X,19.24,X,19.07,NA,2.448979592,X,0.184782609,No,18.61,12,12,NA,NA,NA,NA
81,23-0284,N 43°47.028',43.7838,W 091°50.067',91.83445,-91.83445,1,3.2,YES,Fillmore,7,84,CONCRETE,NA,2.95,13.87,X,15.84,X,14.89,NA,4.375,X,1.130952381,No,16.82,14,14,NA,NA,NA,NA
83,23-0009,N 43°47.796',43.7966,W 091°54.663',91.91105,-91.91105,1,4.3,NO,Fillmore,1.5,39.8,METAL,105,1.13,7.84,X,10.4,X,8.03,NA,0.348837209,X,5.954773869,No,8.97,1.5,1.5,NA,NA,NA,NA
189,55-0043,N 43°52.203',43.87005,W 091°32.672',91.54453333,-91.54453333,1,1.55,NO,Olmsted,6,40,CONCRETE,105 St S-,0.19,10.79,X,11.32,X,11.05,NA,6.451612903,X,0.675,No,10.98,10,10,NA,NA,NA,NA
204,85-0129,N 43°56.396',43.93993333,W 092°03.820',92.06366667,-92.06366667,1,2.5,N/A,Winona,8,126,CONCRETE,14,1.81,20.52,X,22.77,X,21.84,NA,4.8,X,0.738095238,No,22.33,12,12,NA,NA,NA,NA
53,23-0255,N 43°30.041',43.50068333,W 091°59.748',91.9958,-91.9958,3,,YES,Fillmore,,NA,CONCRETE,Stateline Rd,-0.15,11.79,NA,,NA,,NA,NA,NA,NA,No,11.64,NA,NA,NA,NA,NA,NA
134,28-0017,N 43°41.459',43.69098333,W 091°17.180',91.28633333,-91.28633333,1,,NO,Houston,,33.5,METAL,Hamilton St,-0.02,8.6,NA,,NA,,NA,NA,NA,NA,No,8.58,NA,NA,NA,NA,NA,NA
135,28-0018,N 43°41.602',43.69336667,W 091°17.092,,,1,,NO,Houston,,NA,CONCRETE,Main St,,,NA,,NA,,NA,NA,NA,NA,No,,NA,NA,NA,NA,NA,NA
148,50-0049,N 43°42.678',43.7113,W 091°36.904',91.61506667,-91.61506667,3,1.5,YES,Mo-er,8,62,CONCRETE,CR16,0.1,14.39,NA,15.41,NA,14.78,NA,20,NA,1.016129032,No,14.49,10,30,YES,X,YES,YES
172,55-0044, N 43° 51.731,43.86216667,W 092° 32.915,92.5485,-92.5485,3,3.266666667,YES,Olmstead,,NA,METAL,55th Avenue S-,0.52,9.82,NA,,NA,,NA,2.020408163,NA,NA,No,10.34,2.2,6.6,NA,NA,NA,NA
55,23-0085,N 43°34.818',43.5803,W 091°59.041',91.98401667,-91.98401667,2,9.866666667,NO,Fillmore,,49,CONCRETE,156th St,-0.06,10.17,12.36,12.39,10.49,12.28,NA,2.22972973,3.816326531,0.224489796,No,10.11,11,22,NA,NA,NA,NA
58,23-0145,N 43°35.392',43.58986667,W 092°06.574',92.10956667,-92.10956667,3,,YES,Fillmore,2.5,NA,PLASTIC,NA,1.11,7.85,9.03,9.21,8.68,8.74,NA,NA,1.813471503,2.473684211,No,8.96,NA,NA,NA,NA,NA,NA
66,23-0103,N 43°40.419',43.67365,W 091°58.888',91.98146667,-91.98146667,3,11.5,YES,Fillmore,8.8,35.4,CONCRETE,220th St,0.11,14.79,17.85,,17.29,14.4,NA,1.043478261,1.581920904,NA,No,14.9,4,12,NA,NA,NA,NA
63,23-0143,N 43°36.587',43.60978333,W 092°05.921',92.09868333,-92.09868333,2,5.066666667,NO,Fillmore,7.2,67,CONCRETE,CR22,0.43,13.25,15.05,14.96,14.61,14.67,NA,2.171052632,0.656716418,0.432835821,No,13.68,5.5,11,NA,NA,NA,NA
60,23-0141,N 43°36.539',43.60898333,W 092°07.856',92.13093333,-92.13093333,2,3.333333333,NO,Fillmore,7.2,100.3,CONCRETE,NA,0.07,15.46,17.92,,17.29,,NA,3.15,0.628115653,NA,No,15.53,5.25,10.5,X,X,NA,0
3,23-0151, N 43° 34.817,43.58016667,W 092° 8.315,92.1385,-92.1385,2,1.65,NO,Fillmore,8,116,CONCRETE,CR 20,0.06,18.32,20.04,20.07,19.34,19.37,NA,12.12121212,0.603448276,0.603448276,No,18.38,10,20,NA,NA,NA,NA
56,23-0150,N 43°35.028',43.5838,W 092°07.848',92.1308,-92.1308,3,1.533333333,NO,Fillmore,7.2,85,CONCRETE,CR15,0.55,15.87,17.31,,16.81,16.6,NA,6.847826087,0.588235294,NA,No,16.42,3.5,10.5,NA,NA,NA,NA
50,23-0193, N 43° 49.999,43.83316667,W 092°17.957,92.29916667,-92.29916667,2,10.8,YES,Fillmore,8,174,CONCRETE,NA,-0.56,69.4,67.86,69.52,68.72,69.19,NA,1.111111111,0.494252874,-0.189655172,No,68.84,6,12,NA,NA,NA,NA
201,85-0126,N 43°54.673',43.91121667,W 092°04.174',92.06956667,-92.06956667,2,2.366666667,YES,Winona,8,80,CONCRETE,NA,2.6,16.1,16.48,16.49,16.09,16.15,NA,10.14084507,0.4875,0.425,No,18.7,12,24,NA,NA,NA,NA
85,23-0041,N 43°48.264',43.8044,W 092°06.850',92.11416667,-92.11416667,3,14.13333333,YES,Fillmore,,30,CONCRETE,Jubilee Rd,0.76,11.77,12.63,12.82,12.49,12.45,NA,0.424528302,0.466666667,1.233333333,NO,12.53,2,6,NA,NA,NA,NA
203,85-0128,N 43°56.039',43.93398333,W 092°03.571',92.05951667,-92.05951667,2,2.5,NO,Winona,10,115.5,CONCRETE,Park Rd,0.67,15.43,17.42,17.68,16.9,17.54,NA,9.6,0.45021645,0.121212121,No,16.1,12,24,NA,NA,NA,NA
68,23-0101,N 43°40.749',43.67915,W 091°58.901',91.98168333,-91.98168333,3,11.93333333,NO,Fillmore,,92,CONCRETE,Grosbeak Rd,,11.53,11.75,11.95,11.38,,NA,1.039106145,0.402173913,NA,No,,4.133333333,12.4,NA,NA,NA,NA
74,23-0107,N 43°42.648',43.7108,W 092°02.966',92.04943333,-92.04943333,3,18.4,YES,Fillmore,11.1,96,CONCRETE,CR17,0.05,17.17,18.95,19.07,18.67,18.67,NA,0.60326087,0.291666667,0.416666667,No,17.22,3.7,11.1,NA,NA,NA,NA
142,50-0029,N 43°39.405',43.65675,W 091°32.970',91.5495,-91.5495,2,2,YES,Mo-er,8,62,CONCRETE,750th Ave,0.28,12.91,14.27,,14.09,14.11,NA,12,0.290322581,NA,No,13.19,12,24,X,X,NA,NA
139,50-0111,N 43°38.650',43.64416667,W 091°29.372',91.48953333,-91.48953333,3,12.3,NO,Mo-er,9,76,CONCRETE,780th Ave,0.02,14.28,16.2,16.13,16.08,15.96,NA,3.414634146,0.157894737,0.223684211,No,14.3,14,42,0,X,0,0
70,23-0236,N 43°41.123',43.68538333,W 091°23.525',91.39208333,-91.39208333,3,7.5,NO,Fillmore,8,83,CONCRETE,- Churst St,0.05,13.12,15.09,15.7,15.16,14.8,NA,4.4,-0.0843,1.084337349,No,13.17,11,33,NA,NA,NA,NA
155,50-0019,N 43°46.278',43.7713,W 091°44.963',91.74938333,-91.74938333,2,7.3,NO,Mo-er,9,71,CONCRETE,650th Ave,0.02,12.38,14.3,13.97,14.57,14.3,NA,3.835616438,-0.38028169,-0.464788732,No,12.4,14,28,NA,NA,NA,NA
71,23-0233,N 43°41.298',43.6883,W 091°23.327',91.38878333,-91.38878333,3,7.5,YES,Fillmore,6,82.6,CONCRETE,NA,-0.02,11.98,12.85,13.33,13.25,13.2,NA,4.8,-0.484261501,0.157384988,No,11.96,12,36,NA,NA,NA,NA
65,23-0156,N 43°40.228',43.67046667,W 092°09.754',92.16256667,-92.16256667,1,,YES,Fillmore,6.3,30,METAL,NA,4.09,11.36,X,12.4,X,11.83,NA,NA,X,1.9,Yes,15.45,6.3,6.3,NA,NA,NA,NA
140,50-0065,N 43°38.687',43.64478333,W 091°38.986',91.64976667,-91.64976667,1,1.2,YES,Mo-er,6,71,CONCRETE,CR3,0.74,13.9,X,14.78,X,14.33,NA,8.333333333,X,0.633802817,Yes,14.64,10,10,NA,NA,NA,NA
143,50-0064,N 43°39.581',43.65968333,W 091°37.765',91.62941667,-91.62941667,1,1.733333333,YES,Mo-er,9,115,CONCRETE,CR55,-0.03,14.01,X,16.24,X,15.95,NA,8.076923077,X,0.252173913,Yes,13.98,14,14,NA,NA,NA,NA
54,23-0260,N 43°30.908',43.51513333,W 092°01.936',92.03226667,-92.03226667,2,,YES,Fillmore,,64,CONCRETE,CR30,0.38,16.16,NA,,NA,,NA,NA,NA,NA,Yes,16.54,NA,NA,NA,NA,NA,NA
145,50-0061,N 43°40.168',43.66946667,W 091°37.762',91.62936667,-91.62936667,3,2.7,YES,Mo-er,7.5,70,CONCRETE,55,0.02,9.24,NA,,12.73,12.15,NA,15.55555556,NA,NA,Yes,9.26,14,42,NA,NA,NA,NA
165,50-0014,N 43°49.755',43.82925,W 091°43.793',91.72988333,-91.72988333,2,4.466666667,NO,Mo-er,9,82,CONCRETE,7,-0.09,14.78,16.6,16.7,15.4,16.17,NA,6.268656716,1.463414634,0.646341463,Yes,14.69,14,28,NA,NA,NA,NA
59,23-0144,N 43°35.519',43.59198333,W 092°06.424',92.10706667,-92.10706667,3,5.066666667,NO,Fillmore,7.8,47,CONCRETE,NA,1.75,14.37,15.33,15.35,14.73,14.6,NA,7.105263158,1.276595745,1.595744681,Yes,16.12,12,36,NA,NA,NA,NA
77,23-0013,N 43°44.294',43.73823333,W 091°53.400',91.89,-91.89,3,5.533333333,YES,Fillmore,,NA,CONCRETE,NA,0.08,13.67,14.1,13.47,13.45,13.81,NA,2.421686747,1.048387097,-0.548387097,Yes,13.75,4.466666667,13.4,NA,NA,NA,NA
163,50-0005,N 43°49.149',43.81915,W 091°36.028',91.60046667,-91.60046667,3,10.53333333,NO,Mo-er,9.5,75,CONCRETE,NA,0.13,14.91,16.7,16.67,16.16,16.56,NA,3.417721519,0.72,0.146666667,Yes,15.04,12,36,NA,NA,NA,NA
161,50-0007,N 43°48.725',43.81208333,W 091°37.783',91.62971667,-91.62971667,2,2,YES,Mo-er,6.5,64,CONCRETE,710th Ave,-0.02,10.75,13.12,13.22,12.79,12.85,NA,10,0.515625,0.578125,Yes,10.73,10,20,NA,NA,NA,NA
188,55-0045,N 43°52.040',43.86733333,W 091°33.506',91.55843333,-91.55843333,2,3.133333333,NO,Olmsted,4,54,CONCRETE,60th Ave,0.79,10.32,10.72,10.81,10.46,10.58,NA,5.106382979,0.481481481,0.425925926,Yes,11.11,8,16,NA,NA,NA,NA
75,23-0015,N 43°44.112',43.7352,W 091°52.806',91.8801,-91.8801,3,4.766666667,YES,Fillmore,7.2,63,CONCRETE,NA,0.17,10.27,11.6,13.1,11.35,13.48,NA,2.370629371,0.396825397,-0.603174603,Yes,10.44,3.766666667,11.3,NA,NA,NA,NA
160,50-0008,N 43°48.283',43.80471667,W 091°36.366',91.6061,-91.6061,2,4.833333333,NO,Mo-er,7.2,80,CONCRETE,310th St/15,0.02,12.14,14.04,13.39,13.78,13.37,NA,4.75862069,0.325,0.025,Yes,12.16,11.5,23,NA,NA,NA,NA
153,50-0035,N 43°45.673',43.76121667,W 091°29.986',91.49976667,-91.49976667,2,1.7,YES,Mo-er,5,55.2,CONCRETE,280th St,0.04,10.91,11.71,11.71,11.6,11.72,NA,11.76470588,0.199275362,-0.018115942,Yes,10.95,10,20,NA,NA,NA,NA
158,50-0003,N 43°47.864',43.79773333,W 091°33.325',91.55541667,-91.55541667,2,3.066666667,YES,Mo-er,7.8,66,CONCRETE,305th St,-0.08,14.1,16.21,16.21,16.08,15.98,NA,6.52173913,0.196969697,0.348484848,Yes,14.02,10,20,NA,NA,NA,NA
138,50-0024,N 43°38.049',43.63415,W 091°31.761',91.52935,-91.52935,2,,NO,Mo-er,7.2,61,CONCRETE,760th Ave,0.07,13.13,14.77,14.8,14.66,14.63,NA,NA,0.180327869,0.278688525,Yes,13.2,11,22,NA,NA,NA,NA
151,50-0038,N 43°44.942',43.74903333,W 091°33.256',91.55426667,-91.55426667,3,6.1,YES,Mo-er,8.8,84,CONCRETE,NA,0.01,13.32,15.79,15.82,15.67,15.56,NA,5.901639344,0.142857143,0.30952381,Yes,13.33,12,36,NA,NA,NA,NA
69,23-0237,N 43°41.093',43.68488333,W 091°23.584',91.39306667,-91.39306667,3,7.5,YES,Fillmore,,102.3,CONCRETE,S. Hudson St.,0.04,12.59,13.84,13.95,13.77,13.93,NA,4.133333333,0.0684,0.019550342,Yes,12.63,10.33333333,31,NA,NA,NA,NA
157,50-0010,N 43°47.665',43.79441667,W 091°47.777',91.79628333,-91.79628333,2,2.666666667,NO,Mo-er,7.7,64,CONCRETE,710th Ave,-0.1,13.3,15.78,15.49,15.74,15.37,NA,6,0.0625,0.1875,Yes,13.2,8,16,NA,NA,NA,NA
150,50-0047,N 43°43.395',43.72325,W 091°35.391',91.58985,-91.58985,4,6.3,YES,Mo-er,9,75,CONCRETE,730th Ave,-0.05,13.62,15.81,15.88,15.8,15.51,NA,7.619047619,0.0133,0.493333333,Yes,13.57,12,48,NA,NA,NA,NA
144,50-0060,N 43°40.091',43.66818333,W 091°36.566',91.60943333,-91.60943333,3,5.133333333,YES,Mo-er,8,62,CONCRETE,720th Ave,0.17,12.98,15.11,15.05,15.12,14.97,NA,7.012987013,-0.0161,0.129032258,Yes,13.15,12,36,NA,NA,NA,NA
166,50-0012,N 43°50.928',43.8488,W 091°44.540',91.74233333,-91.74233333,3,5.766666667,YES,Mo-er,7.2,82,CONCRETE,20,-0.02,11.66,13.32,13.02,13.34,13.3,NA,6.069364162,-0.0244,-0.341463415,Yes,11.64,11.66666667,35,NA,NA,NA,NA
190,55-0046,N 43°52.388',43.87313333,W 091°34.705',91.57841667,-91.57841667,2,1.8,NO,Olmsted,5.2,55,CONCRETE,CR115,-0.02,10.42,11.04,11.3,11.07,11,NA,13.33333333,-0.0545,0.545454545,Yes,10.4,12,24,NA,NA,NA,NA
147,50-0057,N 43°41.351',43.68918333,W 091°34.129',91.56881667,-91.56881667,4,12.26666667,YES,Mo-er,9,106,CONCRETE,NA,0.83,12,14.77,15,14.89,14.84,NA,3.913043478,-0.113207547,0.150943396,Yes,12.83,12,48,NA,NA,NA,NA